piece	acte	scene	replique	id	nom	texte	didascalie
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	79	SGANARELLE	SGANARELLE	Vous n'avez rien à me commander.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	80	MONSIEUR-ROBERT	MONSIEUR ROBERT	D'accord.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	81	SGANARELLE	SGANARELLE	Je n'ai que faire de votre aide.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	82	MONSIEUR-ROBERT	MONSIEUR ROBERT	Très volontiers.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	83	SGANARELLE	SGANARELLE	Et vous êtes un impertinent, de vous ingérer des affaires d'autrui : apprenez que Cicéron dit qu'entre l'arbre et le doigt il ne faut point mettre l'écorce.<didascalie>Ensuite, il revient vers sa femme, et lui dit, en lui pressant la main :</didascalie><note type="C">Dans l'édition originale, L'entête du locuteur SGANARELLE est rappelé entr eles deux phrases.</note>Ô çà, faisons la paix nous deux. Touche là.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	84	MARTINE	MARTINE	Oui ! Après m'avoir ainsi battue !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	85	SGANARELLE	SGANARELLE	Cela n'est rien, touche.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	86	MARTINE	MARTINE	Je ne veux pas.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	87	SGANARELLE	SGANARELLE	Eh !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	88	MARTINE	MARTINE	Non.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	89	SGANARELLE	SGANARELLE	Ma petite femme !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	90	MARTINE	MARTINE	Point.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	91	SGANARELLE	SGANARELLE	Allons, te dis-je.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	92	MARTINE	MARTINE	Je n'en ferai rien.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	93	SGANARELLE	SGANARELLE	Viens, viens, viens.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	94	MARTINE	MARTINE	Non : je veux être en colère.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	95	SGANARELLE	SGANARELLE	Fi, c'est une bagatelle, allons, allons.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	96	MARTINE	MARTINE	Laisse-moi là.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	97	SGANARELLE	SGANARELLE	Touche, te dis-je.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	98	MARTINE	MARTINE	Tu m'as trop maltraitée.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	99	SGANARELLE	SGANARELLE	Eh bien va, je te demande pardon, mets là, ta main.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	100	MARTINE	MARTINE	Je te pardonne?<didascalie>Elle dit le reste bas</didascalie>mais tu le payeras.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	101	SGANARELLE	SGANARELLE	Tu es une folle de prendre garde à cela. Ce sont petites choses qui sont, de temps, en temps, nécessaires dans l'amitié : et cinq ou six coups de bâton, entre gens qui s'aiment, ne font que ragaillardir l'affection. Va, je m'en vais au bois : et je te promets, aujourd'hui, plus d'un cent de fagots.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	102	LUCAS	LUCAS	Parguenne ! J'avons pris là tous deux une gueble de commission ; et je ne sais pas, moi, ce que je pensons attraper.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	103	VALÈRE	VALÈRE	Que veux-tu, mon pauvre nourricier ? Il faut bien obéir à notre maître : et puis, nous avons intérêt, l'un et l'autre, à la santé de sa fille notre maîtresse, et, sans doute, son mariage différé par sa maladie, nous vaudrait quelque récompense. Horace qui est libéral, a bonne part aux prétentions qu'on peut avoir sur sa personne : et quoiqu'elle ait fait voir de l'amitié pour un certain Léandre, tu sais bien que son père n'a jamais voulu consentir à le recevoir pour son gendre.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	104	MARTINE	MARTINE, rêvant à part elle	Ne puis-je point trouver quelque invention pour me venger ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	105	LUCAS	LUCAS	Mais quelle fantaisie s'est-il boutée là dans la tête, puisque les médecins y avont tous pardu leur latin ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	106	VALÈRE	VALÈRE	On trouve quelquefois, à force de chercher, ce qu'on ne trouve pas d'abord : et souvent, en de simples lieux...	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	107	MARTINE	MARTINE	Oui, il faut que je m'en venge à quelque prix que ce soit : ces coups de bâton me reviennent au coeur, je ne les saurais digérer, et... <didascalie>Elle dit tout ceci en rêvant : de sorte que ne prenant pas garde à ces deux hommes, elle les heurte en se retournant, et leur dit.</didascalie>Ah ! Messieurs, je vous demande pardon, je ne vous voyais pas : et cherchais dans ma tête quelque chose qui m'embarrasse.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	108	VALÈRE	VALÈRE	Chacun a ses soins dans le monde, et nous cherchons aussi ce que nous voudrions bien trouver.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	IV	109	MARTINE	MARTINE	Serait-ce quelque chose où je vous puisse aider ?	
