piece	div1_nom	div1_num	div2_nom	div2_num	pos	SGANARELLE	MARTINE	MONSIEUR-ROBERT	VALÈRE	LUCAS	GÉRONTE	JACQUELINE	LUCINDE	LÉANDRE	THIBAUT	PERRIN
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	21	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	22	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	23	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	24	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	25	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	26	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	27	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	28	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	29	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	30	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	31	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	32	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	33	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	34	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	35	1	1	0	0	0	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE I	1	36	1	1	0	0	0	0	0	0	0	0	0
