piece	div1_nom	div1_num	div2_nom	div2_num	pos	mac-first-witch.	mac-sec.-witch.	mac-third-witch.	Duncan	Malcolm	mac-ser.	Lennox	Ross	Macbeth	Banquo	Angus2	MacbethLdy	mac-mess.	Fleance	mac-porter.	Macduff	mac-port.	Macbeth Lennox	Donalbain	mac-old-m.	mac-aten.	mac-first-mur.	mac-sec.-mur.	mac-both-mur.	mac-serv.	mac-third-mur.	mac-lords.	mac-mur.	Hecate	mac-lord.	mac-first-app.	mac-sec.-app.	mac-third-app.	MacduffLdy	mac-son.	mac-doct.	mac-gent.	Menteith	Caithness	mac-serve.	Seyton	Siward	mac-soldiers.	SiwardJr
Macbeth	Act 1	1	Scene 3	3	67	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	68	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	69	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	70	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	71	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	72	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	73	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	74	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	75	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macbeth	Act 1	1	Scene 3	3	76	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
