piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
Macbeth	Act 1	1	Scene 3	3	38	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103004" n="4">              A sailor's wife had chestnuts in her lap,            </l>                        <l xml:id="sha-mac103005" n="5">              And munched, and munched, and munched: — “Give me,” quoth I:            </l>                        <l xml:id="sha-mac103006" n="6">              “Aroint thee, witch!” the rump-fed ronyon cries.            </l>                        <l xml:id="sha-mac103007" n="7">              Her husband's to Aleppo gone, master o' the Tiger:            </l>                        <l xml:id="sha-mac103008" n="8">              But in a sieve I'll thither sail,            </l>                        <l xml:id="sha-mac103009" n="9">              And, like a rat without a tail,            </l>                        <l xml:id="sha-mac103010" n="10">              I'll do, I'll do, and I'll do.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	39	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac103011" n="11">              I'll give thee a wind.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	40	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103012" n="12">              Th' art kind.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	41	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac103013" n="13">              And I another.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	42	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103014" n="14">              I myself have all the other,            </l>                        <l xml:id="sha-mac103015" n="15">              And the very ports they blow,            </l>                        <l xml:id="sha-mac103016" n="16">              All the quarters that they know            </l>                        <l xml:id="sha-mac103017" n="17">              I' the shipman's card.            </l>                        <l xml:id="sha-mac103018" n="18">              I'll drain him dry as hay:            </l>                        <l xml:id="sha-mac103019" n="19">              Sleep shall neither night nor day            </l>                        <l xml:id="sha-mac103020" n="20">              Hang upon his penthouse lid;            </l>                        <l xml:id="sha-mac103021" n="21">              He shall live a man forbid:            </l>                        <l xml:id="sha-mac103022" n="22">              Weary se'nnights nine times nine            </l>                        <l xml:id="sha-mac103023" n="23">              Shall he dwindle, peak and pine:            </l>                        <l xml:id="sha-mac103024" n="24">              Though his bark cannot be lost,            </l>                        <l xml:id="sha-mac103025" n="25">              Yet it shall be tempest-tossed.            </l>                        <l xml:id="sha-mac103026" n="26">              Look what I have.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	43	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac103027" n="27">              Show me, show me.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	44	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103028" n="28">              Here I have a pilot's thumb,            </l>                        <l xml:id="sha-mac103029" n="29">              wracked as homeward he did come.              <didascalie>Drum within.</didascalie></l>                    	
Macbeth	Act 1	1	Scene 3	3	45	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac103030" n="30">              A drum, a drum!            </l>                        <l xml:id="sha-mac103031" n="31">              Macbeth doth come.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	46	mac-first-witch,mac-sec.-witch,mac-third-witch	All	                        <l xml:id="sha-mac103032" n="32">              The weird sisters, hand in hand,            </l>                        <l xml:id="sha-mac103033" n="33">              Posters of the sea and land,            </l>                        <l xml:id="sha-mac103034" n="34">              Thus do go about, about:            </l>                        <l xml:id="sha-mac103035" n="35">              Thrice to thine and thrice to mine            </l>                        <l xml:id="sha-mac103036" n="36">              And thrice again, to make up nine.            </l>                        <l xml:id="sha-mac103037" n="37">              Peace! the charm's wound up.              <didascalie>Enter MACBETH and BANQUO.</didascalie></l>                    	
Macbeth	Act 1	1	Scene 3	3	47	Macbeth	Macbeth	                        <l xml:id="sha-mac103038" n="38">              So foul and fair a day I have not seen.            </l>                    	
